incident_id,date_int,latitude,longitude,snapshot_quarter,in_corridor,severity_economic_usd
127,20000123,29.8166667,32.55,200001,1,0.0
128,20000126,1.6855,101.4547,200001,1,0.0
129,20000128,3.7766667,98.6767,200001,1,0.0
130,20000131,1.2166667,103.5,200001,1,0.0
131,20000201,3.7836667,98.7007,200001,1,0.0
132,20000204,4.9173,99.2682,200001,1,0.0
133,20000209,3.7836667,98.7007,200001,1,0.0
134,20000213,3.7836667,98.7007,200001,1,0.0
135,20000401,3.7836667,98.7007,200002,1,0.0
136,20000404,3.7836667,98.7007,200002,1,0.0
137,20000405,3.7836667,98.7007,200002,1,0.0
138,20000412,3.7836667,98.7007,200002,1,0.0
139,20000417,3.7836667,98.7007,200002,1,0.0
140,20000417,3.7836667,98.7007,200002,1,0.0
141,20000418,2.8833,101.0,200002,1,0.0
142,20000505,3.7836667,98.7007,200002,1,0.0
143,20000506,5.7739,103.0605,200002,1,0.0
144,20000509,3.7836667,98.7007,200002,1,0.0
145,20000509,1.6283333,102.975,200002,1,0.0
146,20000512,3.7836667,98.7007,200002,1,0.0
147,20000517,3.7836667,98.7007,200002,1,0.0
148,20000517,1.9925,102.2117,200002,1,0.0
149,20000527,1.9333333,102.35,200002,1,0.0
150,20000527,2.0183333,102.19,200002,1,0.0
151,20000528,2.0,102.4667,200002,1,0.0
152,20000528,1.7833333,102.4667,200002,1,0.0
153,20000531,1.8833333,102.4167,200002,1,0.0
154,20000531,1.7833333,102.4683,200002,1,0.0
155,20000601,1.7833333,102.4667,200002,1,0.0
156,20000601,1.8111667,102.4427,200002,1,0.0
157,20000605,3.7836667,98.7007,200002,1,0.0
158,20000608,1.9333333,102.3,200002,1,0.0
159,20000612,1.8833333,102.4167,200002,1,0.0
160,20000628,2.135,102.0533,200002,1,0.0
161,20000702,5.3863333,100.365,200003,1,0.0
162,20000704,11.2854,51.0801,200003,1,0.0
163,20000704,27.1378333,56.204,200003,1,0.0
164,20000704,3.7836667,98.7007,200003,1,0.0
165,20000713,15.655,41.4417,200003,1,0.0
166,20000715,13.6333333,42.9333,200003,1,0.0
167,20000720,1.8366667,102.375,200003,1,0.0
168,20000722,4.9173,99.2682,200003,1,0.0
169,20000724,3.7836667,98.7007,200003,1,0.0
170,20000724,1.4306,102.6727,200003,1,0.0
171,20000724,13.1,43.0833,200003,1,0.0
172,20000725,3.7836667,98.7007,200003,1,0.0
173,20000728,1.7533333,102.5417,200003,1,0.0
174,20000729,13.1916667,43.0167,200003,1,0.0
175,20000731,1.0233333,102.0817,200003,1,0.0
176,20000801,13.7366667,42.9633,200003,1,0.0
177,20000806,3.7836667,98.7007,200003,1,0.0
178,20000809,1.8916667,102.35,200003,1,0.0
179,20000811,13.0166667,43.215,200003,1,0.0
180,20000811,12.5166667,42.4833,200003,1,0.0
181,20000814,3.7836667,98.7007,200003,1,0.0
182,20000815,2.142,102.339,200003,1,0.0
183,20000815,2.142,102.339,200003,1,0.0
184,20000815,2.0666667,102.25,200003,1,0.0
