conflict_id,country_code,latitude,longitude,date_start,fatalities,event_type_code,snapshot_quarter,in_corridor
7112,651,26.051389,32.238611,19970315,0,3,199701,1
7510,651,25.683333,32.65,19971117,58,3,199704,1
7185,651,29.491944,34.891389,20041007,32,3,200404,1
7537,651,29.035,34.661667,20041007,2,3,200404,1
7124,651,27.863611,34.288056,20050723,88,3,200503,1
7504,651,26.235684,32.00347,20000101,3,2,200001,1
7352,651,25.583492,32.49585,20060118,1,2,200601,1
7533,651,25.847377,32.834237,20090418,0,2,200902,1
65060,651,29.973714,32.526267,20130705,1,2,201303,1
65751,651,29.973714,32.526267,20131002,1,2,201304,1
65880,651,29.973714,32.526267,20131122,1,2,201304,1
143322,651,29.973714,32.526267,20140110,2,2,201401,1
143769,651,28.236381,33.625404,20140502,3,1,201402,1
143999,651,29.5,34.0,20140831,2,1,201403,1
144018,651,29.5,34.0,20140911,7,1,201403,1
143708,651,24.0875,32.898889,20140403,3,2,201402,1
143711,651,24.0875,32.898889,20140405,20,2,201402,1
143723,651,24.0875,32.898889,20140406,3,2,201402,1
143815,651,23.3,32.9,20140626,2,2,201402,1
217752,651,29.5,34.0,20160407,7,1,201602,1
224168,651,29.9,33.7,20160521,85,1,201602,1
234887,651,29.5,34.0,20160715,1,1,201603,1
234893,651,29.5,34.0,20160901,2,1,201603,1
236587,651,29.5,34.0,20170123,24,1,201701,1
241306,651,29.9,33.7,20170206,14,1,201701,1
237626,651,29.5,34.0,20170320,27,1,201701,1
237640,651,28.555556,33.976111,20170418,3,1,201702,1
237641,651,28.555556,33.976111,20170419,1,1,201702,1
240267,651,26.12065,32.0957,20170808,4,1,201703,1
240269,651,25.8,32.75,20170810,4,1,201703,1
247258,651,29.9096,33.7483,20171109,10,1,201704,1
329582,651,29.9,33.7,20180101,2,1,201801,1
254781,651,29.9,33.7,20180314,20,1,201801,1
255625,651,29.5,34.0,20180401,4,1,201802,1
255627,651,29.9,33.7,20180408,13,1,201802,1
255629,651,29.5,34.0,20180416,1,1,201802,1
256596,651,29.9,33.7,20180425,11,1,201802,1
256599,651,29.9,33.7,20180510,10,1,201802,1
275253,651,29.9,33.7,20180529,6,1,201802,1
260145,651,29.5,34.0,20180529,10,1,201802,1
262107,651,29.5,34.0,20180805,1,1,201803,1
329632,651,29.9,33.7,20181008,4,1,201804,1
329642,651,29.9,33.7,20181207,13,1,201804,1
330127,651,29.9,33.7,20190115,22,1,201901,1
281790,651,29.9,33.7,20190220,23,1,201901,1
287012,651,29.5,34.0,20190311,34,1,201901,1
